longitude,latitude
-179.900000,38.712086
-179.668638,38.762536
-179.438242,38.816198
-179.208732,38.872732
-178.979658,38.931821
-178.750395,38.993173
-178.520356,39.056521
-178.289498,39.121620
-178.058085,39.188246
-177.826378,39.256196
-177.594538,39.325286
-177.362807,39.395351
-177.131112,39.466245
-176.899280,39.537835
-176.667106,39.610008
-176.434220,39.682662
-176.200210,39.755710
-175.964955,39.829076
-175.728886,39.902699
-175.492363,39.976526
-175.255692,40.050512
-175.019354,40.124625
-174.783651,40.198835
-174.548764,40.273124
-174.314961,40.347475
-174.082559,40.421878
-173.851492,40.496600
-173.621581,40.571309
-173.392912,40.646012
-173.165128,40.720724
-172.937716,40.795456
-172.710223,40.870211
-172.482257,40.944983
-172.253574,41.019755
-172.024188,41.094505
-171.794229,41.169202
-171.563633,41.243809
-171.332464,41.318286
-171.100955,41.392584
-170.869138,41.466641
-170.637118,41.540381
-170.405266,41.613709
-170.174248,41.686509
-169.944863,41.758644
-169.717811,41.829984
-169.493496,41.900404
-169.271674,41.969806
-169.051780,42.038126
-168.833328,42.105330
-168.615998,42.171406
-168.399584,42.236361
-168.183950,42.300219
-167.969106,42.363016
-167.755020,42.424787
-167.541616,42.485566
-167.328711,42.545379
-167.115989,42.604245
-166.902919,42.662176
-166.688937,42.719177
-166.473602,42.775237
-166.256798,42.830329
-166.038658,42.884413
-165.819120,42.937438
-165.598022,42.989348
-165.375182,43.040080
-165.150470,43.089564
-164.923794,43.137716
-164.695182,43.184441
-164.464845,43.229645
-164.233221,43.273242
-164.001009,43.315156
-163.768749,43.355330
-163.536686,43.393713
-163.304920,43.430253
-163.073603,43.464913
-162.843040,43.497665
-162.613748,43.528485
-162.386450,43.557359
-162.161602,43.584285
-161.939363,43.609270
-161.719614,43.632334
-161.502140,43.653512
-161.286785,43.672856
-161.073427,43.690429
-160.861820,43.706298
-160.651621,43.720537
-160.442517,43.733219
-160.234328,43.744416
-160.027060,43.754196
-159.820999,43.762613
-159.616484,43.769709
-159.413694,43.775500
-159.212657,43.779980
-159.013292,43.783124
-158.815473,43.784895
-158.619089,43.785255
-158.423980,43.784169
-158.229942,43.781606
-158.036752,43.777528
-157.844203,43.771890
-157.652167,43.764639
-157.460505,43.755719
-157.269026,43.745066
-157.077347,43.732613
-156.885022,43.718291
-156.691829,43.702035
-156.497632,43.683790
-156.302381,43.663510
-156.106101,43.641161
-155.908840,43.616709
-155.710664,43.590128
-155.511648,43.561400
-155.311904,43.530515
-155.111671,43.497473
-154.911244,43.462283
-154.710970,43.424961
-154.511140,43.385540
-154.312023,43.344056
-154.113831,43.300556
-153.916628,43.255091
-153.720432,43.207715
-153.525146,43.158484
-153.330686,43.107458
-153.137024,43.054699
-152.944155,43.000272
-152.752059,42.944240
-152.560594,42.886659
-152.369793,42.827583
-152.179674,42.767057
-151.990216,42.705121
