longitude,latitude
-179.900000,38.647368
-179.780486,38.649604
-179.661685,38.652685
-179.543643,38.656562
-179.426370,38.661192
-179.309830,38.666544
-179.194004,38.672590
-179.078824,38.679311
-178.964220,38.686695
-178.850155,38.694734
-178.736541,38.703429
-178.623374,38.712782
-178.510625,38.722803
-178.398290,38.733507
-178.286396,38.744911
-178.174938,38.757037
-178.063912,38.769910
-177.953300,38.783558
-177.843064,38.798011
-177.733166,38.813303
-177.623567,38.829468
-177.514118,38.846543
-177.404824,38.864563
-177.295452,38.883567
-177.185977,38.903592
-177.076303,38.924677
-176.966357,38.946933
-176.856157,38.970325
-176.745729,38.994892
-176.635075,39.020667
-176.524462,39.047679
-176.413893,39.075954
-176.303614,39.105511
-176.193680,39.136364
-176.084196,39.168521
-175.975261,39.201989
-175.866867,39.236766
-175.759045,39.272848
-175.651794,39.310228
-175.544958,39.348897
-175.438539,39.388840
-175.332393,39.430045
-175.226440,39.472495
-175.120656,39.516175
-175.014831,39.561069
-174.908962,39.607162
-174.802926,39.654443
-174.696704,39.702897
-174.590280,39.752518
-174.483602,39.803298
-174.376644,39.855231
-174.269447,39.908314
-174.161966,39.962547
-174.054280,40.017928
-173.946365,40.074461
-173.838254,40.132149
-173.729951,40.190997
-173.621393,40.251012
-173.512571,40.312198
-173.403482,40.374561
-173.294022,40.438107
-173.184144,40.502839
-173.073715,40.568760
-172.962691,40.635869
-172.850979,40.704165
-172.738450,40.773647
-172.625093,40.844308
-172.510746,40.916143
-172.395421,40.989144
-172.279016,41.063300
-172.161513,41.138599
-172.042886,41.215027
-171.923149,41.292573
-171.802279,41.371222
-171.680272,41.450959
-171.557171,41.531770
-171.432995,41.613639
-171.307757,41.696551
-171.181503,41.780492
-171.054248,41.865445
-170.926005,41.951399
-170.796800,42.038337
-170.666646,42.126242
-170.535524,42.215101
-170.403472,42.304895
-170.270417,42.395607
-170.136375,42.487215
-170.001289,42.579696
-169.865140,42.673027
-169.727847,42.767183
-169.589461,42.862134
-169.449868,42.957849
-169.309121,43.054295
-169.167159,43.151435
-169.023950,43.249230
-168.879505,43.347640
-168.733692,43.446628
-168.586561,43.546150
-168.438009,43.646169
-168.288027,43.746642
-168.136566,43.847526
-167.983553,43.948775
-167.828986,44.050342
-167.672800,44.152181
-167.515044,44.254244
-167.355678,44.356483
-167.194858,44.458853
-167.032571,44.561311
-166.868891,44.663815
-166.703953,44.766331
-166.537735,44.868825
-166.370456,44.971273
-166.202160,45.073654
-166.032946,45.175954
-165.862860,45.278165
-165.691941,45.380288
-165.520283,45.482327
-165.347884,45.584292
-165.174935,45.686200
-165.001442,45.788066
-164.827457,45.889912
-164.653059,45.991757
-164.478193,46.093619
-164.302919,46.195515
-164.127200,46.297463
-163.951053,46.399476
-163.774523,46.501564
-163.597665,46.603741
-163.420540,46.706015
-163.243178,46.808395
-163.065622,46.910888
-162.887847,47.013500
-162.709844,47.116236
-162.531575,47.219097
-162.353008,47.322078
-162.174069,47.425170
-161.994744,47.528357
-161.815038,47.631617
-161.634860,47.734922
-161.454228,47.838239
-161.273067,47.941531
-161.091343,48.044757
-160.908950,48.147876
-160.725770,48.250848
-160.541780,48.353634
-160.356783,48.456196
-160.170741,48.558502
-159.983581,48.660515
-159.795260,48.762200
-159.605791,48.863519
-159.415142,48.964431
-159.223420,49.064895
-159.030733,49.164869
-158.837289,49.264316
-158.643321,49.363195
-158.448990,49.461470
-158.254401,49.559104
-158.059503,49.656056
-157.864025,49.752282
-157.667756,49.847733
-157.470441,49.942352
-157.271931,50.036082
-157.072141,50.128864
-156.871115,50.220646
-156.668972,50.311386
-156.465874,50.401058
-156.261990,50.489644
-156.057499,50.577144
-155.852628,50.663565
-155.647474,50.748926
-155.442098,50.833256
-155.236599,50.916584
-155.030952,50.998943
-154.825004,51.080362
-154.618760,51.160869
-154.412088,51.240490
-154.204921,51.319240
-153.997464,51.397125
-153.789892,51.474140
-153.582519,51.550270
-153.375300,51.625490
-153.167913,51.699773
-152.959976,51.773092
-152.751089,51.845419
-152.540970,51.916727
-152.329698,51.986988
-152.117525,52.056173
-151.904747,52.124246
-151.691434,52.191170
-151.477494,52.256897
-151.262791,52.321379
-151.047316,52.384559
-150.831068,52.446383
-150.614132,52.506791
-150.396605,52.565727
-150.178560,52.623129
-149.959995,52.678940
-149.740849,52.733098
-149.520987,52.785549
-149.300085,52.836245
-149.077776,52.885153
-148.853700,52.932254
-148.627567,52.977547
-148.399276,53.021043
-148.168998,53.062767
-147.937093,53.102749
-147.703882,53.141025
-147.469663,53.177622
-147.234739,53.212570
-146.999352,53.245886
-146.763650,53.277586
-146.527753,53.307677
-146.291695,53.336167
-146.055527,53.363063
-145.819266,53.388379
-145.582860,53.412132
-145.346148,53.434339
-145.108885,53.455019
-144.870788,53.474188
-144.631607,53.491859
-144.391183,53.508039
-144.149486,53.522725
-143.906614,53.535903
-143.662701,53.547552
-143.417815,53.557643
-143.171932,53.566129
-142.924987,53.572949
-142.676937,53.578027
-142.427810,53.581281
-142.177716,53.582619
-141.926866,53.581949
-141.675599,53.579192
-141.424288,53.574277
-141.173265,53.567148
-140.922780,53.557767
-140.673005,53.546112
-140.424013,53.532178
-140.175794,53.515974
-139.928330,53.497524
-139.681649,53.476866
-139.435787,53.454046
-139.190769,53.429119
-138.946610,53.402143
-138.703314,53.373178
-138.460865,53.342274
-138.219183,53.309477
-137.978143,53.274831
-137.737580,53.238371
-137.497229,53.200126
-137.256772,53.160127
-137.015987,53.118396
-136.774704,53.074949
-136.532831,53.029796
-136.290365,52.982932
-136.047391,52.934342
-135.804123,52.883997
-135.560765,52.831862
-135.317574,52.777897
-135.074815,52.722058
-134.832702,52.664310
-134.591359,52.604622
-134.350934,52.542972
-134.111687,52.479352
-133.873990,52.413772
-133.638180,52.346257
-133.404555,52.276851
-133.173254,52.205608
-132.944007,52.132589
-132.716419,52.057867
-132.490299,51.981517
-132.265384,51.903615
-132.041139,51.824234
-131.817527,51.743448
-131.594569,51.661334
-131.372063,51.577958
-131.150214,51.493382
-130.929138,51.407657
-130.708755,51.320826
-130.489197,51.232922
-130.270391,51.143967
-130.052117,51.053983
-129.834483,50.962976
-129.617494,50.870947
-129.401204,50.777891
-129.185828,50.683798
-128.971576,50.588656
-128.758776,50.492466
-128.547743,50.395236
-128.338850,50.296981
-128.132453,50.197721
-127.928762,50.097498
-127.727796,49.996371
-127.529644,49.894407
-127.334263,49.791665
-127.141498,49.688213
-126.950950,49.584129
-126.762343,49.479513
-126.575623,49.374477
-126.390661,49.269142
-126.207601,49.163640
-126.026305,49.058097
-125.846685,48.952649
-125.668553,48.847437
-125.491844,48.742605
-125.316586,48.638286
-125.142655,48.534612
-124.970104,48.431700
-124.798892,48.329651
-124.628930,48.228558
-124.460020,48.128511
-124.292045,48.029609
-124.125036,47.931965
-123.959316,47.835708
-123.794772,47.740976
-123.630987,47.647916
-123.468484,47.556667
-123.307217,47.467367
-123.147267,47.380154
-122.988216,47.295160
-122.829462,47.212509
-122.670939,47.132319
-122.513342,47.054697
-122.357177,46.979735
-122.203228,46.907515
-122.051748,46.838087
-121.903250,46.771490
-121.758180,46.707737
-121.616864,46.646825
-121.478697,46.588727
-121.342923,46.533393
-121.207639,46.480746
-121.071602,46.430683
-120.932955,46.383081
-120.790715,46.337806
-120.643947,46.294717
-120.492655,46.253677
-120.337000,46.214556
-120.178702,46.177227
-120.018686,46.141566
-119.857947,46.107466
-119.697720,46.074840
-119.538482,46.043612
-119.380898,46.013712
-119.225427,45.985082
-119.072257,45.957690
-118.921766,45.931533
-118.774091,45.906631
-118.629348,45.883017
-118.487561,45.860737
-118.348661,45.839845
-118.212451,45.820411
-118.078810,45.802522
-117.947477,45.786278
-117.818110,45.771777
-117.690191,45.759099
-117.563028,45.748314
-117.435820,45.739460
-117.307845,45.732556
-117.178435,45.727607
-117.047238,45.724605
-116.913958,45.723532
-116.778564,45.724360
-116.641018,45.727043
-116.501454,45.731520
-116.359897,45.737713
-116.216620,45.745533
-116.071727,45.754890
-115.925550,45.765687
-115.778463,45.777828
-115.630808,45.791211
-115.483276,45.805741
-115.336081,45.821324
-115.189865,45.837874
-115.044736,45.855315
-114.900876,45.873584
-114.758220,45.892633
-114.616717,45.912426
-114.476493,45.932942
-114.337602,45.954164
-114.200455,45.976084
-114.065055,45.998699
-113.931415,46.022016
-113.799237,46.046046
-113.668169,46.070806
-113.538186,46.096314
-113.409279,46.122584
-113.281895,46.149621
-113.156244,46.177423
-113.032098,46.205970
-112.909355,46.235232
-112.787003,46.265159
-112.664594,46.295696
-112.541589,46.326777
-112.417815,46.358332
-112.293417,46.390285
-112.168493,46.422563
-112.042924,46.455088
-111.916617,46.487781
-111.789276,46.520564
-111.660762,46.553367
-111.531345,46.586126
-111.401211,46.618784
-111.270973,46.651289
-111.140876,46.683598
-111.011195,46.715673
-110.881972,46.747489
-110.753125,46.779032
-110.624587,46.810297
-110.496080,46.841289
-110.367465,46.872014
-110.238100,46.902484
-110.107779,46.932712
-109.975922,46.962715
-109.842419,46.992518
-109.707330,47.022147
-109.570961,47.051633
-109.433983,47.081000
-109.296882,47.110272
-109.160199,47.139458
-109.024158,47.168561
-108.888883,47.197574
-108.753981,47.226482
-108.619350,47.255261
-108.484395,47.283877
-108.349080,47.312289
-108.213249,47.340447
-108.076904,47.368295
-107.940078,47.395776
-107.802731,47.422830
-107.664825,47.449400
-107.526239,47.475432
-107.386904,47.500875
-107.246677,47.525683
-107.105571,47.549812
-106.963529,47.573224
-106.820594,47.595888
-106.676928,47.617772
-106.532804,47.638854
-106.388500,47.659107
-106.244572,47.678504
-106.101226,47.697018
-105.959048,47.714618
-105.818128,47.731269
-105.678640,47.746940
-105.540516,47.761596
-105.403701,47.775205
-105.268000,47.787736
-105.133323,47.799159
-104.999450,47.809442
-104.866338,47.818558
-104.733762,47.826481
-104.601684,47.833186
-104.469894,47.838652
-104.338353,47.842865
-104.206947,47.845813
-104.075697,47.847488
-103.944651,47.847886
-103.813939,47.847005
-103.683734,47.844845
-103.554250,47.841405
-103.425690,47.836686
-103.298246,47.830687
-103.172060,47.823407
-103.047220,47.814845
-102.923783,47.804994
-102.801730,47.793850
-102.681053,47.781404
-102.561686,47.767647
-102.443586,47.752569
-102.326695,47.736156
-102.210953,47.718397
-102.096325,47.699279
-101.982728,47.678788
-101.870159,47.656916
-101.758523,47.633651
-101.647836,47.608985
-101.538014,47.582909
-101.429065,47.555414
-101.320966,47.526492
-101.213715,47.496129
-101.107333,47.464312
-101.001837,47.431024
-100.897254,47.396247
-100.793662,47.359957
-100.691099,47.322135
-100.589618,47.282761
-100.489269,47.241820
-100.390077,47.199300
-100.292025,47.155197
-100.195156,47.109512
-100.099517,47.062257
-100.005164,47.013448
-99.912150,46.963109
-99.820603,46.911273
-99.730605,46.857978
-99.642231,46.803266
-99.555558,46.747186
-99.470648,46.689791
-99.387615,46.631137
-99.306468,46.571284
-99.227249,46.510295
-99.149970,46.448235
-99.074657,46.385173
-99.001337,46.321178
-98.930023,46.256320
-98.860660,46.190673
-98.793225,46.124308
-98.727679,46.057296
-98.663975,45.989707
-98.602023,45.921612
-98.541688,45.853075
-98.482916,45.784159
-98.425656,45.714921
-98.369821,45.645413
-98.315333,45.575680
-98.262163,45.505762
-98.210281,45.435692
-98.159589,45.365494
-98.110051,45.295185
-98.061628,45.224773
-98.014236,45.154258
-97.967755,45.083636
-97.922124,45.012896
-97.877291,44.942025
-97.833096,44.871008
-97.789486,44.799829
-97.746435,44.728475
-97.703883,44.656935
-97.661714,44.585202
-97.619921,44.513269
-97.578498,44.441137
-97.537426,44.368811
-97.496717,44.296299
-97.456389,44.223611
-97.416500,44.150764
-97.377107,44.077778
-97.338237,44.004676
-97.299915,43.931484
-97.262196,43.858235
-97.225097,43.784962
-97.188640,43.711699
-97.152815,43.638486
-97.117601,43.565362
-97.082991,43.492364
-97.048969,43.419527
-97.015442,43.346887
-96.982405,43.274478
-96.949860,43.202325
-96.917734,43.130455
-96.885996,43.058888
-96.854649,42.987643
-96.823682,42.916732
-96.793025,42.846162
