longitude,latitude
-179.900000,45.496121
-179.758928,45.498206
-179.619162,45.500186
-179.480835,45.502018
-179.343951,45.503659
-179.208548,45.505074
-179.074568,45.506233
-178.941903,45.507107
-178.810382,45.507672
-178.679796,45.507909
-178.549843,45.507799
-178.420272,45.507327
-178.290709,45.506481
-178.160924,45.505251
-178.030547,45.503628
-177.899407,45.501604
-177.767154,45.499175
-177.633672,45.496334
-177.498615,45.493077
-177.361929,45.489400
-177.223409,45.485298
-177.083061,45.480766
-176.940992,45.475799
-176.797370,45.470391
-176.652446,45.464533
-176.506596,45.458215
-176.359988,45.451613
-176.213056,45.444546
-176.065856,45.436998
-175.918554,45.428951
-175.771133,45.420375
-175.623588,45.411228
-175.475819,45.401456
-175.327793,45.390992
-175.179414,45.379760
-175.030665,45.367677
-174.881533,45.354664
-174.732082,45.340643
-174.582363,45.325545
-174.432537,45.309315
-174.282717,45.291916
-174.133032,45.273332
-173.983689,45.253566
-173.834769,45.232649
-173.686446,45.210629
-173.538770,45.187578
-173.391828,45.163587
-173.245627,45.138762
-173.100188,45.113222
-172.955416,45.087090
-172.811276,45.060486
-172.667643,45.033525
-172.524393,45.006308
-172.381419,44.978924
-172.238390,44.951442
-172.095195,44.923910
-171.951616,44.896360
-171.807536,44.868805
-171.662761,44.841247
-171.517154,44.813675
-171.370570,44.786072
-171.222961,44.758413
-171.074251,44.730671
-170.924561,44.702819
-170.773918,44.674824
-170.622346,44.646651
-170.469843,44.618261
-170.316406,44.589613
-170.162024,44.560663
-170.006683,44.531356
-169.850402,44.501633
-169.693138,44.471436
-169.535007,44.440702
-169.376052,44.409373
-169.216337,44.377394
-169.055917,44.344713
-168.894849,44.311291
-168.733186,44.277097
-168.570967,44.242108
-168.408345,44.206315
-168.245544,44.169716
-168.082648,44.132318
-167.919853,44.094136
-167.757256,44.055194
-167.594948,44.015521
-167.433076,43.975149
-167.271822,43.934115
-167.111324,43.892456
-166.951521,43.850212
-166.792334,43.807424
-166.633673,43.764130
-166.475420,43.720373
-166.317599,43.676206
-166.160117,43.631683
-166.002858,43.586869
-165.845701,43.541830
-165.688555,43.496637
-165.531343,43.451364
-165.373965,43.406087
-165.216549,43.360881
-165.059110,43.315812
-164.901759,43.270940
-164.744421,43.226311
-164.587095,43.181949
-164.429594,43.137857
-164.271795,43.094024
-164.113545,43.050426
-163.954713,43.007033
-163.795292,42.963818
-163.635508,42.920750
-163.475487,42.877801
-163.315275,42.834942
-163.154958,42.792149
-162.994563,42.749402
-162.834091,42.706684
-162.673464,42.663991
-162.512627,42.621323
-162.351541,42.578695
-162.190137,42.536120
-162.028345,42.493620
-161.866083,42.451221
-161.703368,42.408960
-161.540293,42.366879
-161.377056,42.325026
-161.214092,42.283455
-161.051720,42.242227
-160.890402,42.201408
-160.730386,42.161070
-160.571657,42.121287
-160.413989,42.082134
-160.257161,42.043686
-160.100992,42.006014
-159.945271,41.969191
-159.789969,41.933283
-159.635081,41.898355
-159.480661,41.864467
-159.326725,41.831676
-159.173280,41.800033
-159.020275,41.769584
-158.867648,41.740370
-158.715279,41.712422
-158.563098,41.685775
