NAICS,NAICS_TITLE,State,Total_Employment
486100,Pipeline Transportation of Crude Oil,Alaska,720.0
486100,Pipeline Transportation of Crude Oil,California,330.0
486100,Pipeline Transportation of Crude Oil,Georgia,70.0
486100,Pipeline Transportation of Crude Oil,Illinois,390.0
486100,Pipeline Transportation of Crude Oil,Mississippi,130.0
486100,Pipeline Transportation of Crude Oil,Montana,140.0
486100,Pipeline Transportation of Crude Oil,Ohio,1310.0
486100,Pipeline Transportation of Crude Oil,Oklahoma,150.0
486100,Pipeline Transportation of Crude Oil,Texas,6470.0
486100,Pipeline Transportation of Crude Oil,Wyoming,210.0
324000,Petroleum and Coal Products Manufacturing,Alabama,2240.0
324000,Petroleum and Coal Products Manufacturing,Arizona,290.0
324000,Petroleum and Coal Products Manufacturing,California,11170.0
324000,Petroleum and Coal Products Manufacturing,Connecticut,280.0
324000,Petroleum and Coal Products Manufacturing,Delaware,750.0
324000,Petroleum and Coal Products Manufacturing,Florida,3220.0
324000,Petroleum and Coal Products Manufacturing,Georgia,1380.0
324000,Petroleum and Coal Products Manufacturing,Hawaii,380.0
324000,Petroleum and Coal Products Manufacturing,Illinois,5540.0
324000,Petroleum and Coal Products Manufacturing,Indiana,3920.0
324000,Petroleum and Coal Products Manufacturing,Iowa,340.0
324000,Petroleum and Coal Products Manufacturing,Kansas,2700.0
324000,Petroleum and Coal Products Manufacturing,Kentucky,990.0
324000,Petroleum and Coal Products Manufacturing,Louisiana,10790.0
324000,Petroleum and Coal Products Manufacturing,Maine,480.0
324000,Petroleum and Coal Products Manufacturing,Maryland,740.0
324000,Petroleum and Coal Products Manufacturing,Massachusetts,1130.0
324000,Petroleum and Coal Products Manufacturing,Michigan,1810.0
324000,Petroleum and Coal Products Manufacturing,Minnesota,2060.0
324000,Petroleum and Coal Products Manufacturing,Mississippi,2720.0
324000,Petroleum and Coal Products Manufacturing,Missouri,1540.0
324000,Petroleum and Coal Products Manufacturing,Montana,1490.0
324000,Petroleum and Coal Products Manufacturing,Nevada,370.0
324000,Petroleum and Coal Products Manufacturing,New Hampshire,300.0
324000,Petroleum and Coal Products Manufacturing,New Jersey,2740.0
324000,Petroleum and Coal Products Manufacturing,New York,1730.0
324000,Petroleum and Coal Products Manufacturing,North Carolina,810.0
324000,Petroleum and Coal Products Manufacturing,Ohio,5470.0
324000,Petroleum and Coal Products Manufacturing,Oklahoma,2330.0
324000,Petroleum and Coal Products Manufacturing,Oregon,580.0
324000,Petroleum and Coal Products Manufacturing,Pennsylvania,5030.0
324000,Petroleum and Coal Products Manufacturing,South Carolina,650.0
324000,Petroleum and Coal Products Manufacturing,Texas,22910.0
324000,Petroleum and Coal Products Manufacturing,Utah,1950.0
324000,Petroleum and Coal Products Manufacturing,Vermont,80.0
324000,Petroleum and Coal Products Manufacturing,Virginia,1060.0
324000,Petroleum and Coal Products Manufacturing,Washington,3080.0
324000,Petroleum and Coal Products Manufacturing,West Virginia,440.0
324000,Petroleum and Coal Products Manufacturing,Wisconsin,500.0
324000,Petroleum and Coal Products Manufacturing,Wyoming,940.0
324000,Petroleum and Coal Products Manufacturing,Puerto Rico,870.0
324100,Petroleum and Coal Products Manufacturing,Alabama,2240.0
324100,Petroleum and Coal Products Manufacturing,Arizona,290.0
324100,Petroleum and Coal Products Manufacturing,California,11170.0
324100,Petroleum and Coal Products Manufacturing,Connecticut,280.0
324100,Petroleum and Coal Products Manufacturing,Delaware,750.0
324100,Petroleum and Coal Products Manufacturing,Florida,3220.0
324100,Petroleum and Coal Products Manufacturing,Georgia,1380.0
324100,Petroleum and Coal Products Manufacturing,Hawaii,380.0
324100,Petroleum and Coal Products Manufacturing,Illinois,5540.0
324100,Petroleum and Coal Products Manufacturing,Indiana,3920.0
324100,Petroleum and Coal Products Manufacturing,Iowa,340.0
324100,Petroleum and Coal Products Manufacturing,Kansas,2700.0
324100,Petroleum and Coal Products Manufacturing,Kentucky,990.0
