County,Harris_Votes,Harris_Pct,Trump_Votes,Trump_Pct,Other_Votes,Other_Pct,Margin_Votes,Margin_Pct,Total_Votes,State,County_Clean,State_Clean,County FIPS,County Name,State Name,5 digit 2024 jobs,6 digit 2024 jobs,Total_Jobs_Affected_by_Tariffs_2024,Share,Unnamed: 7,Unnamed: 8,Unnamed: 9,Total_Votes_HT,Affected_Jobs_Pct_of_HT_Votes,Affected_Jobs_Pct_of_Total_Votes
Autauga,7439,26.3,20484,72.43,358,1.27,13045,46.13,28281,Alabama,autauga,alabama,1001,Autauga,Alabama,0.0,2.159889313,2,0.000178645,,,,27923,0.0071625541668158856,0.0071625541668158856
Baldwin,24934,20.4,95798,78.36,1517,1.24,70864,57.96,122249,Alabama,baldwin,alabama,1003,Baldwin,Alabama,74.46486027,13.10569144,87,0.001042441,,,,120732,0.07206043136865123,0.07206043136865123
Barbour,4158,42.19,5606,56.88,91,0.93,1448,14.69,9855,Alabama,barbour,alabama,1005,Barbour,Alabama,0.0,0.0,0,0.0,,,,9764,0.0,0.0
Bibb,1619,17.49,7572,81.8,66,0.71,5953,64.31,9257,Alabama,bibb,alabama,1007,Bibb,Alabama,0.0,0.0,0,0.0,,,,9191,0.0,0.0
Blount,2576,9.15,25354,90.03,233,0.82,22778,80.88,28163,Alabama,blount,alabama,1009,Blount,Alabama,0.0,0.0,0,0.0,,,,27930,0.0,0.0
Bullock,2983,72.56,1101,26.78,27,0.66,-1882,-45.78,4111,Alabama,bullock,alabama,1011,Bullock,Alabama,0.0,0.0,0,0.0,,,,4084,0.0,0.0
Butler,3251,38.34,5172,60.99,57,0.67,1921,22.65,8480,Alabama,butler,alabama,1013,Butler,Alabama,0.0,0.0,0,0.0,,,,8423,0.0,0.0
Calhoun,13194,27.12,34912,71.76,547,1.12,21718,44.64,48653,Alabama,calhoun,alabama,1015,Calhoun,Alabama,136.0672918,17.0910766,153,0.003517038,,,,48106,0.31804764478443437,0.31804764478443437
Chambers,5405,37.94,8711,61.15,129,0.91,3306,23.21,14245,Alabama,chambers,alabama,1017,Chambers,Alabama,2.02458555,0.0,2,0.000228206,,,,14116,0.014168319637291017,0.014168319637291017
Cherokee,1553,11.94,11358,87.33,95,0.73,9805,75.39,13006,Alabama,cherokee,alabama,1019,Cherokee,Alabama,414.1449195,0.0,414,0.077890662,,,,12911,3.2065680427542405,3.2065680427542405
Chilton,2698,13.65,16920,85.61,145,0.74,14222,71.96,19763,Alabama,chilton,alabama,1021,Chilton,Alabama,0.341602191,0.0,0,3.73431e-05,,,,19618,0.0,0.0
Choctaw,2515,37.79,4103,61.64,38,0.57,1588,23.85,6656,Alabama,choctaw,alabama,1023,Choctaw,Alabama,0.0,0.0,0,0.0,,,,6618,0.0,0.0
Clarke,4927,41.2,6965,58.25,66,0.55,2038,17.05,11958,Alabama,clarke,alabama,1025,Clarke,Alabama,0.0,0.0,0,0.0,,,,11892,0.0,0.0
Clay,993,14.67,5734,84.73,40,0.6,4741,70.06,6767,Alabama,clay,alabama,1027,Clay,Alabama,0.0,0.0,0,0.0,,,,6727,0.0,0.0
Cleburne,605,7.91,6988,91.33,58,0.76,6383,83.42,7651,Alabama,cleburne,alabama,1029,Cleburne,Alabama,0.0,10.16144487,10,0.003846816,,,,7593,0.13170025023047544,0.13170025023047544
Coffee,4601,20.61,17495,78.39,223,1.0,12894,57.78,22319,Alabama,coffee,alabama,1031,Coffee,Alabama,8.496637928,325.2149358,333,0.01950146,,,,22096,1.5070601013758147,1.5070601013758147
Colbert,7137,26.28,19714,72.58,309,1.14,12577,46.3,27160,Alabama,colbert,alabama,1033,Colbert,Alabama,0.0,0.0,0,0.0,,,,26851,0.0,0.0
Conecuh,2580,42.64,3423,56.57,48,0.79,843,13.93,6051,Alabama,conecuh,alabama,1035,Conecuh,Alabama,0.0,46.44917355,46,0.014134798,,,,6003,0.7662835249042145,0.7662835249042145
Coosa,1478,28.06,3758,71.34,32,0.6,2280,43.28,5268,Alabama,coosa,alabama,1037,Coosa,Alabama,0.0,0.0,0,0.0,,,,5236,0.0,0.0
Covington,2314,13.54,14677,85.86,104,0.6,12363,72.32,17095,Alabama,covington,alabama,1039,Covington,Alabama,0.0,87.25072782,87,0.007249708,,,,16991,0.5120357836501678,0.5120357836501678
Crenshaw,1457,22.46,5000,77.09,29,0.45,3543,54.63,6486,Alabama,crenshaw,alabama,1041,Crenshaw,Alabama,0.0,0.0,0,0.0,,,,6457,0.0,0.0
Cullman,4039,9.36,38704,89.7,403,0.94,34665,80.34,43146,Alabama,cullman,alabama,1043,Cullman,Alabama,0.0,90.11047137,90,0.002921374,,,,42743,0.21056079358023538,0.21056079358023538
Dale,4484,23.43,14476,75.64,179,0.93,9992,52.21,19139,Alabama,dale,alabama,1045,Dale,Alabama,0.0,27.03657958,27,0.00149066,,,,18960,0.14240506329113925,0.14240506329113925
Dallas,10236,65.84,5190,33.38,121,0.78,-5046,-32.46,15547,Alabama,dallas,alabama,1047,Dallas,Alabama,0.0,106.763234,106,0.009413867,,,,15426,0.6871515622974199,0.6871515622974199
DeKalb,3758,12.67,25633,86.42,269,0.91,21875,73.75,29660,Alabama,dekalb,alabama,1049,DeKalb,Alabama,3.826533817,0.0,3,0.000165983,,,,29391,0.010207206287639074,0.010207206287639074
Elmore,9774,23.48,31374,75.37,476,1.15,21600,51.89,41624,Alabama,elmore,alabama,1051,Elmore,Alabama,0.0,17.277302,17,0.000826224,,,,41148,0.04131428015942452,0.04131428015942452
Escambia,3964,26.5,10884,72.77,109,0.73,6920,46.27,14957,Alabama,escambia,alabama,1053,Escambia,Alabama,0.0,9.967183088,9,0.000772843,,,,14848,0.060614224137931036,0.060614224137931036
Etowah,10027,21.73,35653,77.28,457,0.99,25626,55.55,46137,Alabama,etowah,alabama,1055,Etowah,Alabama,0.0,17.90839815,17,0.000545765,,,,45680,0.037215411558669004,0.037215411558669004
Fayette,1142,13.65,7158,85.53,69,0.82,6016,71.88,8369,Alabama,fayette,alabama,1057,Fayette,Alabama,1.917641714,0.0,1,0.000495698,,,,8300,0.012048192771084336,0.012048192771084336
Franklin,1568,12.96,10417,86.11,112,0.93,8849,73.15,12097,Alabama,franklin,alabama,1059,Franklin,Alabama,0.0,1161.251693,1161,0.108439864,,,,11985,9.687108886107634,9.687108886107634
Geneva,1391,11.22,10929,88.13,81,0.65,9538,76.91,12401,Alabama,geneva,alabama,1061,Geneva,Alabama,0.0,0.0,0,0.0,,,,12320,0.0,0.0
Greene,3133,77.57,885,21.91,21,0.52,-2248,-55.66,4039,Alabama,greene,alabama,1063,Greene,Alabama,0.0,0.0,0,0.0,,,,4018,0.0,0.0
Hale,3868,52.95,3369,46.12,68,0.93,-499,-6.83,7305,Alabama,hale,alabama,1065,Hale,Alabama,0.0,0.0,0,0.0,,,,7237,0.0,0.0
Henry,2263,24.28,6989,74.99,68,0.73,4726,50.71,9320,Alabama,henry,alabama,1067,Henry,Alabama,0.0,0.0,0,0.0,,,,9252,0.0,0.0
Houston,11352,25.6,32469,73.21,528,1.19,21117,47.61,44349,Alabama,houston,alabama,1069,Houston,Alabama,0.0,14.97470128,14,0.000294758,,,,43821,0.03194815271216996,0.03194815271216996
Jackson,3276,13.91,20073,85.21,207,0.88,16797,71.3,23556,Alabama,jackson,alabama,1071,Jackson,Alabama,0.0,0.0,0,0.0,,,,23349,0.0,0.0
